datasetSize;arrayType;sortType;operations
1700;AlmostSorted;bubbleSortAiverson1;9899582
1700;ReversedSorted;bubbleSortAiverson1;20223202
1800;Random(0-5);bubbleSortAiverson1;17496089
1800;Random(0-4000);bubbleSortAiverson1;18557999
1800;AlmostSorted;bubbleSortAiverson1;10677512
1800;ReversedSorted;bubbleSortAiverson1;22672802
1900;Random(0-5);bubbleSortAiverson1;19547439
1900;Random(0-4000);bubbleSortAiverson1;20742006
1900;AlmostSorted;bubbleSortAiverson1;11459147
1900;ReversedSorted;bubbleSortAiverson1;25262402
2000;Random(0-5);bubbleSortAiverson1;21658611
2000;Random(0-4000);bubbleSortAiverson1;22970936
2000;AlmostSorted;bubbleSortAiverson1;12246502
2000;ReversedSorted;bubbleSortAiverson1;27992002
2100;Random(0-5);bubbleSortAiverson1;23943072
2100;Random(0-4000);bubbleSortAiverson1;25422567
2100;AlmostSorted;bubbleSortAiverson1;13021207
2100;ReversedSorted;bubbleSortAiverson1;30861602
2200;Random(0-5);bubbleSortAiverson1;26201891
2200;Random(0-4000);bubbleSortAiverson1;27835921
2200;AlmostSorted;bubbleSortAiverson1;13797157
2200;ReversedSorted;bubbleSortAiverson1;33871202
2300;Random(0-5);bubbleSortAiverson1;28744666
2300;Random(0-4000);bubbleSortAiverson1;30490121
2300;AlmostSorted;bubbleSortAiverson1;14573577
2300;ReversedSorted;bubbleSortAiverson1;37020802
2400;Random(0-5);bubbleSortAiverson1;31302352
2400;Random(0-4000);bubbleSortAiverson1;33225602
2400;AlmostSorted;bubbleSortAiverson1;15352687
2400;ReversedSorted;bubbleSortAiverson1;40310402
2500;Random(0-5);bubbleSortAiverson1;33933822
2500;Random(0-4000);bubbleSortAiverson1;35990292
2500;AlmostSorted;bubbleSortAiverson1;16132562
2500;ReversedSorted;bubbleSortAiverson1;43740002
2600;Random(0-5);bubbleSortAiverson1;36570539
2600;Random(0-4000);bubbleSortAiverson1;38877346
2600;AlmostSorted;bubbleSortAiverson1;16913877
2600;ReversedSorted;bubbleSortAiverson1;47309602
2700;Random(0-5);bubbleSortAiverson1;39559456
2700;Random(0-4000);bubbleSortAiverson1;41944466
2700;AlmostSorted;bubbleSortAiverson1;17699592
2700;ReversedSorted;bubbleSortAiverson1;51019202
2800;Random(0-5);bubbleSortAiverson1;42498531
2800;Random(0-4000);bubbleSortAiverson1;45093116
2800;AlmostSorted;bubbleSortAiverson1;18481222
2800;ReversedSorted;bubbleSortAiverson1;54868802
2900;Random(0-5);bubbleSortAiverson1;45611384
2900;Random(0-4000);bubbleSortAiverson1;48433451
2900;AlmostSorted;bubbleSortAiverson1;19260832
2900;ReversedSorted;bubbleSortAiverson1;58858402
3000;Random(0-5);bubbleSortAiverson1;48856036
3000;Random(0-4000);bubbleSortAiverson1;51894867
3000;AlmostSorted;bubbleSortAiverson1;20039417
3000;ReversedSorted;bubbleSortAiverson1;62988002
3100;Random(0-5);bubbleSortAiverson1;52118271
3100;Random(0-4000);bubbleSortAiverson1;55341417
3100;AlmostSorted;bubbleSortAiverson1;20814117
3100;ReversedSorted;bubbleSortAiverson1;67257602
3200;Random(0-5);bubbleSortAiverson1;55519786
3200;Random(0-4000);bubbleSortAiverson1;58902859
3200;AlmostSorted;bubbleSortAiverson1;21590667
3200;ReversedSorted;bubbleSortAiverson1;71667202
3300;Random(0-5);bubbleSortAiverson1;59056436
3300;Random(0-4000);bubbleSortAiverson1;62671387
3300;AlmostSorted;bubbleSortAiverson1;22367302
3300;ReversedSorted;bubbleSortAiverson1;76216802
3400;Random(0-5);bubbleSortAiverson1;62748251
3400;Random(0-4000);bubbleSortAiverson1;66608391
3400;AlmostSorted;bubbleSortAiverson1;23145402
3400;ReversedSorted;bubbleSortAiverson1;80906402
3500;Random(0-5);bubbleSortAiverson1;66488551
3500;Random(0-4000);bubbleSortAiverson1;70653861
3500;AlmostSorted;bubbleSortAiverson1;23925287
3500;ReversedSorted;bubbleSortAiverson1;85736002
3600;Random(0-5);bubbleSortAiverson1;70335774
3600;Random(0-4000);bubbleSortAiverson1;74693464
3600;AlmostSorted;bubbleSortAiverson1;24706262
3600;ReversedSorted;bubbleSortAiverson1;90705602
3700;Random(0-5);bubbleSortAiverson1;74350027
3700;Random(0-4000);bubbleSortAiverson1;78978619
3700;AlmostSorted;bubbleSortAiverson1;25493412
3700;ReversedSorted;bubbleSortAiverson1;95815202
3800;Random(0-5);bubbleSortAiverson1;78408511
3800;Random(0-4000);bubbleSortAiverson1;83276376
3800;AlmostSorted;bubbleSortAiverson1;26274057
3800;ReversedSorted;bubbleSortAiverson1;101064802
3900;Random(0-5);bubbleSortAiverson1;82514466
3900;Random(0-4000);bubbleSortAiverson1;87652571
3900;AlmostSorted;bubbleSortAiverson1;27057892
3900;ReversedSorted;bubbleSortAiverson1;106454402
4000;Random(0-5);bubbleSortAiverson1;86804212
4000;Random(0-4000);bubbleSortAiverson1;92195076
4000;AlmostSorted;bubbleSortAiverson1;27843112
4000;ReversedSorted;bubbleSortAiverson1;111984002
4100;Random(0-5);bubbleSortAiverson1;91138122
4100;Random(0-4000);bubbleSortAiverson1;96787336
4100;AlmostSorted;bubbleSortAiverson1;77806102
4100;ReversedSorted;bubbleSortAiverson1;117653602
50;Random(0-5);bubbleSortAiversonAll;9862
50;Random(0-4000);bubbleSortAiversonAll;10869
50;AlmostSorted;bubbleSortAiversonAll;1167
50;ReversedSorted;bubbleSortAiversonAll;15056
100;Random(0-5);bubbleSortAiversonAll;36495
100;Random(0-4000);bubbleSortAiversonAll;41035
100;AlmostSorted;bubbleSortAiversonAll;11663
100;ReversedSorted;bubbleSortAiversonAll;60106
150;Random(0-5);bubbleSortAiversonAll;90561
150;Random(0-4000);bubbleSortAiversonAll;97025
150;AlmostSorted;bubbleSortAiversonAll;13949
150;ReversedSorted;bubbleSortAiversonAll;135156
200;Random(0-5);bubbleSortAiversonAll;165211
200;Random(0-4000);bubbleSortAiversonAll;176685
200;AlmostSorted;bubbleSortAiversonAll;17015
200;ReversedSorted;bubbleSortAiversonAll;240206
250;Random(0-5);bubbleSortAiversonAll;264665
250;Random(0-4000);bubbleSortAiversonAll;283935
250;AlmostSorted;bubbleSortAiversonAll;19715
250;ReversedSorted;bubbleSortAiversonAll;375256
300;Random(0-5);bubbleSortAiversonAll;379185
300;Random(0-4000);bubbleSortAiversonAll;406071
300;AlmostSorted;bubbleSortAiversonAll;28481
300;ReversedSorted;bubbleSortAiversonAll;540306
400;Random(0-5);bubbleSortAiversonAll;670464
400;Random(0-4000);bubbleSortAiversonAll;720707
400;AlmostSorted;bubbleSortAiversonAll;399381
400;ReversedSorted;bubbleSortAiversonAll;960406
500;Random(0-5);bubbleSortAiversonAll;1042809
500;Random(0-4000);bubbleSortAiversonAll;1118549
500;AlmostSorted;bubbleSortAiversonAll;746128
500;ReversedSorted;bubbleSortAiversonAll;1500506
600;Random(0-5);bubbleSortAiversonAll;1500792
600;Random(0-4000);bubbleSortAiversonAll;1610727
600;AlmostSorted;bubbleSortAiversonAll;753664
600;ReversedSorted;bubbleSortAiversonAll;2160606
700;Random(0-5);bubbleSortAiversonAll;2048470
700;Random(0-4000);bubbleSortAiversonAll;2201781
700;AlmostSorted;bubbleSortAiversonAll;762814
700;ReversedSorted;bubbleSortAiversonAll;2940706
800;Random(0-5);bubbleSortAiversonAll;2680886
800;Random(0-4000);bubbleSortAiversonAll;2865112
800;AlmostSorted;bubbleSortAiversonAll;1690914
800;ReversedSorted;bubbleSortAiversonAll;3840806
900;Random(0-5);bubbleSortAiversonAll;3367152
900;Random(0-4000);bubbleSortAiversonAll;3624470
900;AlmostSorted;bubbleSortAiversonAll;2436272
900;ReversedSorted;bubbleSortAiversonAll;4860906
1000;Random(0-5);bubbleSortAiversonAll;4154569
1000;Random(0-4000);bubbleSortAiversonAll;4476510
1000;AlmostSorted;bubbleSortAiversonAll;2638316
1000;ReversedSorted;bubbleSortAiversonAll;6001006
1100;Random(0-5);bubbleSortAiversonAll;4985977
1100;Random(0-4000);bubbleSortAiversonAll;5387794
1100;AlmostSorted;bubbleSortAiversonAll;2640902
1100;ReversedSorted;bubbleSortAiversonAll;7261106
1200;Random(0-5);bubbleSortAiversonAll;5971151
1200;Random(0-4000);bubbleSortAiversonAll;6450816
1200;AlmostSorted;bubbleSortAiversonAll;2697224
1200;ReversedSorted;bubbleSortAiversonAll;8641206
1300;Random(0-5);bubbleSortAiversonAll;7043986
1300;Random(0-4000);bubbleSortAiversonAll;7579943
1300;AlmostSorted;bubbleSortAiversonAll;2704256
1300;ReversedSorted;bubbleSortAiversonAll;10141306
1400;Random(0-5);bubbleSortAiversonAll;8218666
1400;Random(0-4000);bubbleSortAiversonAll;8828574
1400;AlmostSorted;bubbleSortAiversonAll;2826212
1400;ReversedSorted;bubbleSortAiversonAll;11761406
1500;Random(0-5);bubbleSortAiversonAll;9414444
1500;Random(0-4000);bubbleSortAiversonAll;10118125
1500;AlmostSorted;bubbleSortAiversonAll;2837702
1500;ReversedSorted;bubbleSortAiversonAll;13501506
