datasetSize;arrayType;sortType;time
2000;3;4;19758960
2100;0;4;8972582
2100;1;4;11082281
2100;2;4;182120
2100;3;4;21559782
2200;0;4;9527016
2200;1;4;11687055
2200;2;4;192937
2200;3;4;23492961
2300;0;4;10972471
2300;1;4;12605745
2300;2;4;199541
2300;3;4;25192931
2400;0;4;11707593
2400;1;4;13785277
2400;2;4;217851
2400;3;4;27744901
2500;0;4;12441131
2500;1;4;15075592
2500;2;4;223531
2500;3;4;30626283
2600;0;4;13609774
2600;1;4;16265961
2600;2;4;235706
2600;3;4;31916923
2700;0;4;14540005
2700;1;4;17519054
2700;2;4;251663
2700;3;4;35301511
2800;0;4;15232167
2800;1;4;18933963
2800;2;4;270531
2800;3;4;37819205
2900;0;4;16863527
2900;1;4;19944823
2900;2;4;309129
2900;3;4;40303663
3000;0;4;18119992
3000;1;4;21774799
3000;2;4;335804
3000;3;4;42973593
3100;0;4;19356444
3100;1;4;23014481
3100;2;4;353349
3100;3;4;46635709
3200;0;4;20730550
3200;1;4;24800753
3200;2;4;346029
3200;3;4;49025226
3300;0;4;22132210
3300;1;4;26071476
3300;2;4;331427
3300;3;4;52024831
3400;0;4;23645317
3400;1;4;28158441
3400;2;4;355442
3400;3;4;55569733
3500;0;4;25111730
3500;1;4;29947774
3500;2;4;350054
3500;3;4;59131407
3600;0;4;25941248
3600;1;4;31384325
3600;2;4;377092
3600;3;4;61597070
3700;0;4;27354447
3700;1;4;32702681
3700;2;4;399982
3700;3;4;64817501
3800;0;4;28901936
3800;1;4;34799171
3800;2;4;389980
3800;3;4;69667822
3900;0;4;30606475
3900;1;4;36692786
3900;2;4;426385
3900;3;4;72799332
4000;0;4;31284453
4000;1;4;38435380
4000;2;4;449939
4000;3;4;76660815
4100;0;4;33021000
4100;1;4;40417293
4100;2;4;4313100
4100;3;4;80215681
50;0;5;6378
50;1;5;5446
50;2;5;1018
50;3;5;10149
100;0;5;26373
100;1;5;23550
100;2;5;3150
100;3;5;39397
150;0;5;62300
150;1;5;57227
150;2;5;4259
150;3;5;89730
200;0;5;99201
200;1;5;84297
200;2;5;6058
200;3;5;154221
250;0;5;144924
250;1;5;125421
250;2;5;8283
250;3;5;256135
300;0;5;218928
300;1;5;191031
300;2;5;10363
300;3;5;350381
100;0;5;28023
100;1;5;23059
100;2;5;2939
100;3;5;38960
200;0;5;95139
200;1;5;87054
200;2;5;5534
200;3;5;153079
300;0;5;212199
300;1;5;180446
300;2;5;10123
300;3;5;355023
400;0;5;375547
400;1;5;324093
400;2;5;15785
400;3;5;611221
500;0;5;577495
500;1;5;505901
500;2;5;22267
500;3;5;952962
600;0;5;834965
600;1;5;693112
600;2;5;28590
600;3;5;1217267
700;0;5;1071772
700;1;5;978604
700;2;5;40415
700;3;5;1940296
800;0;5;1459510
800;1;5;1255270
800;2;5;52584
800;3;5;2465956
900;0;5;1858565
900;1;5;1571436
900;2;5;55672
900;3;5;3120661
1000;0;5;2311819
1000;1;5;1960947
1000;2;5;74652
1000;3;5;3844079
1100;0;5;2669822
1100;1;5;2326385
1100;2;5;74367
1100;3;5;4556648
1200;0;5;2826614
1200;1;5;2466080
1200;2;5;78002
1200;3;5;5426056
1300;0;5;3283284
1300;1;5;2864629
1300;2;5;85634
1300;3;5;5724048
1400;0;5;3836161
1400;1;5;3618904
1400;2;5;109842
1400;3;5;7520283
1500;0;5;4932827
1500;1;5;4287413
1500;2;5;133172
1500;3;5;8615530
1600;0;5;5566802
1600;1;5;4815212
1600;2;5;135223
1600;3;5;8736808
1700;0;5;6329623
1700;1;5;5448146
1700;2;5;134844
1700;3;5;10307222
1800;0;5;7179765
1800;1;5;5842612
1800;2;5;167923
1800;3;5;12383505
1900;0;5;7944001
1900;1;5;6481484
